,Image,Labels,JSON,Latitud,Longitud,Altitud
0,image-0001.jpg,(no detections),[],4.844897799989423,-74.26533509998497,2614.475
1,image-0002.jpg,(no detections),[],4.84490668001643,-74.26534779996302,2614.5033112582782
2,image-0003.jpg,(no detections),[],4.844995419987176,-74.26547482993197,2614.768
3,image-0004.jpg,(no detections),[],4.845083560006594,-74.26560216008285,2614.875
4,image-0005.jpg,(no detections),[],4.845171239995842,-74.26572964997965,2615.049019607843
5,image-0006.jpg,(no detections),[],4.845259730069052,-74.26585602000715,2615.2632978723404
6,image-0007.jpg,(no detections),[],4.84534900990099,-74.26598122000738,2615.5122950819673
7,image-0008.jpg,(no detections),[],4.845438130054282,-74.26610638998683,2615.731092436975
8,image-0009.jpg,(no detections),[],4.84552738999102,-74.26623129992738,2615.999899979996
9,image-0010.jpg,(no detections),[],4.845616319991044,-74.26635626010626,2616.253623188406
10,image-0011.jpg,(no detections),[],4.845705499975835,-74.26648087002097,2616.5503875968993
11,image-0012.jpg,(no detections),[],4.84579444002475,-74.26660559006211,2616.8492063492063
12,image-0013.jpg,(no detections),[],4.845882769942541,-74.2667305499878,2617.108280254777
13,image-0014.jpg,(no detections),[],4.845970399949293,-74.26685614998775,2617.409799554566
14,image-0015.jpg,Senal_Blanca,"[
  {
    ""name"": ""Senal_Blanca"",
    ""class"": 2,
    ""confidence"": 0.39214,
    ""box"": {
      ""x1"": 3394.80127,
      ""y1"": 859.93964,
      ""x2"": 3769.63062,
      ""y2"": 999.52533
    }
  }
]",4.8460575,-74.26698272999003,2617.53
15,image-0016.jpg,(no detections),[],4.846145700006095,-74.2671100699867,2617.7639751552797
16,image-0017.jpg,Senal_Guia,"[
  {
    ""name"": ""Senal_Guia"",
    ""class"": 5,
    ""confidence"": 0.69646,
    ""box"": {
      ""x1"": 2028.90161,
      ""y1"": 1037.19324,
      ""x2"": 2051.12109,
      ""y2"": 1069.79309
    }
  }
]",4.8462357501139985,-74.26723786999212,2618.0317002881843
17,image-0018.jpg,Senal_Blanca,"[
  {
    ""name"": ""Senal_Blanca"",
    ""class"": 2,
    ""confidence"": 0.26895,
    ""box"": {
      ""x1"": 1871.61987,
      ""y1"": 1014.92249,
      ""x2"": 1938.98364,
      ""y2"": 1063.20923
    }
  }
]",4.8463262799175775,-74.26736664999046,2618.282
